(:Becca(:	Seattle	gpe	pos-towards	1.094444444	"Seattle is nice <img src=""images/smilies/smile.png""/>"	2011-07-30T20:26:00
Come At Me Bro	you	per	pos-towards	1.848888889	"Now you're generalising like a mofo. ""Corporate drones"" lol, that sounds like it came straight out of ""Communism 101""."	2011-08-01T12:19:00
Come At Me Bro	you	per	pos-towards	0.083333333	"Also, if you want a relaxed lifestyle, you can make it for yourself - location is a big factor yes, but it isn't the be all and end all."	2011-08-01T12:19:00
Come At Me Bro	you	per	pos-towards	2.121111111	"NYC is really close to a load of awesome places where you can relax - Long Island, Jersey Shore etc"	2011-08-01T12:19:00
Come At Me Bro	you	per	pos-towards	-0.251111111	Now you're taking the moral high-ground because I have better things to do than to argue with an in-denial communist idealist.	2011-08-02T10:51:00
Come At Me Bro	you	per	pos-towards	1.903333333	"I plan to have a career in finance or consultancy, and what you're saying is pretty irritating - as if having a high-flying career automatically means that you are a selfish money-whore."	2011-08-02T10:51:00
Come At Me Bro	you	per	pos-towards	0.557777778	Stop attacking these people - it seems like you have a chip on your shoulder or something.	2011-08-02T10:51:00
Come At Me Bro	you	per	pos-towards	0.736666667	You made it personal when you said I'm incapable of adult debate.	2011-08-02T10:51:00
Come At Me Bro	You	per	pos-towards	1.848888889	"You sound like someone who's life hadn't turned out the way you wanted it to turn out, and now you're hating on the very people that you previously apsired to be."	2011-08-02T10:51:00
Come At Me Bro	your	per	neg-towards	-0.297777778	Back your points with explanations.	2011-08-02T10:51:00
Come At Me Bro	your	per	pos-towards	1.32	"Calling NYC a hell-hole because there are some work-orientated individuals there (and they exist all over the world mind you, even in your precious Texas), isn't really what I'd call ""adult debate""."	2011-08-02T10:51:00
Complex Simplicity	London	gpe	pos-towards	2.004444444	London is amazing.	2011-08-17T12:25:00
Complex Simplicity	London	gpe	pos-towards	2.782222222	I've lived here for most of my life and absolutely love this city.	2011-08-17T12:25:00
Complex Simplicity	Manchester	gpe	neg-towards	-0.78	I knew someone who commuted from Manchester to london every morning.	2011-08-17T12:26:00
Complex Simplicity	Uk	gpe	pos-towards	1.88	"That said there are many excellent cities in the UK such as Edinburgh, Bristol, Newcastle, Leeds and Cardiff."	2011-08-17T12:25:00
Complex Simplicity	who	per	neg-towards	-0.78	I knew someone who commuted from Manchester to london every morning.	2011-08-17T12:26:00
crazycake93	Feds	org	neg-towards	-0.15	"But until people doubt America's ability to pay back the debt, people will still be lending to the Feds."	2011-07-30T17:25:00
crazycake93	industry	org	pos-towards	0.822222222	"US workers are some of the most efficient in the world, their productivity in the fields of Hi-tech industry and Military Equipment is unparalleled."	2011-07-30T17:10:00
crazycake93	NFP	org	pos-towards	0.596666667	"Unemployment is reducing as shown by the NFP (non-farm payrolls), granted there was a dip in June where Unemployment increased by 0.1%."	2011-07-30T17:10:00
crazycake93	people	per	neg-towards	-0.15	"But until people doubt America's ability to pay back the debt, people will still be lending to the Feds."	2011-07-30T17:25:00
crazycake93	They	per	pos-towards	1.187777778	"They will simply raise the debt ceiling, and everything will be ok..."	2011-07-30T17:10:00
crazycake93	United States	gpe	neg-towards	-0.15	"But until people doubt America's ability to pay back the debt, people will still be lending to the Feds."	2011-07-30T17:25:00
crazycake93	world	loc	pos-towards	1.498888889	"US workers are some of the most efficient in the world, their productivity in the fields of Hi-tech industry and Military Equipment is unparalleled."	2011-07-30T17:10:00
DH-Biker	London	gpe	pos-towards	2.782222222	"I love London, but it isn't where everything is..."	2011-08-17T12:26:00
dnumberwang	United States	gpe	neg-towards	-1.487777778	we are far too obsessed with the USA!	2011-07-31T20:11:00
DYKWIA	Afghanistan	gpe	pos-towards	1.576666667	The US is richer than Afghanistan.	2011-08-01T22:41:00
DYKWIA	areas	loc	pos-towards	1.576666667	There are rich areas and poor areas.	2011-07-31T22:51:00
DYKWIA	britain	loc	pos-towards	1.646666667	"Also, Sharri - not all houses in britain look like Rose Tyler's flat or a street in one of those soaps you all watch."	2011-08-01T01:32:00
DYKWIA	cities	gpe	pos-towards	1.646666667	Brick houses are very common in cities in the US.	2011-08-01T01:32:00
DYKWIA	community	per	pos-towards	1.024444444	Why is it wrong to favor your corporate community over your local one?!	2011-08-01T20:34:00
DYKWIA	community	per	pos-towards	1.125555556	If you earn more money then you will in turn spend more money which benefits the community indirectly.	2011-08-01T21:58:00
DYKWIA	countries	gpe	pos-towards	1.148888889	"Also, the GDP per capita of the US is higher than most countries in europe."	2011-07-31T18:32:00
DYKWIA	country	gpe	neg-towards	-1.301111111	Just look at gun laws in our country.	2011-08-01T15:49:00
DYKWIA	countryside	loc	pos-towards	1.646666667	I would love a house in the English countryside more than anywhere in the world.	2011-08-01T23:24:00
DYKWIA	family	per	pos-towards	2.385555556	"Besides, money (or more accurately, wealth) can be used to make your family more happy."	2011-08-01T21:08:00
DYKWIA	home	fac	pos-towards	0.775555556	"Staying at home isn't productive, especially if you have a spouse who can look after any kids."	2011-08-01T21:58:00
DYKWIA	homes	fac	pos-towards	1.646666667	"Not all homes in the UK are small, attached houses."	2011-08-01T23:24:00
DYKWIA	house	fac	pos-towards	2.782222222	I would love a house in the English countryside more than anywhere in the world.	2011-08-01T23:24:00
DYKWIA	houses	fac	neg-towards	-0.367777778	"Not all homes in the UK are small, attached houses."	2011-08-01T23:24:00
DYKWIA	houses	fac	pos-towards	1.164444444	Timber frame houses are incredibly cheap and quick to construct.	2011-08-01T01:32:00
DYKWIA	houses	fac	pos-towards	1.848888889	Not all houses look like the set from Desperate Housewives. (im sure our neighbors would pay good money for lawns like theirs!)	2011-08-01T01:32:00
DYKWIA	Housewives	per	pos-towards	1.848888889	Not all houses look like the set from Desperate Housewives. (im sure our neighbors would pay good money for lawns like theirs!)	2011-08-01T01:32:00
DYKWIA	Le Pen	per	neg-towards	-0.297777778	"There was plenty of strong opinion floating around during the royal wedding period, which really was forced down our throats waay too much."	2011-07-31T16:27:00
DYKWIA	members	per	pos-towards	0.666666667	You could always email/text family members and 'be with them' that way.	2011-08-01T21:58:00
DYKWIA	nations	gpe	neg-towards	-0.671111111	The simple truth is that our government doesn't function as well as some governments in other developed nations.	2011-08-01T15:49:00
DYKWIA	neighborhood	loc	neg-towards	-0.36	You have no responsibility to your neighborhood to be there.	2011-08-01T21:58:00
DYKWIA	New York State	gpe	neg-towards	-2.343333333	"New York is a really nice place, shame the same can't be said about the people."	2011-07-31T16:52:00
DYKWIA	New York State	gpe	pos-towards	1.094444444	"New York is a really nice place, shame the same can't be said about the people."	2011-07-31T16:52:00
DYKWIA	North East	loc	pos-towards	1.576666667	The North is richer and the north in general has a different pace of life.	2011-08-01T21:58:00
DYKWIA	ones	per	pos-towards	1.848888889	You are generalizing again - not all british tourists are like the ones you describe and not all other tourists show perfect behavior either.	2011-07-31T17:32:00
DYKWIA	people	per	pos-towards	0.666666667	"Some people might prefer one lifestyle over the other, but that doesn't make one any worse or less progressive than another."	2011-08-01T21:58:00
DYKWIA	person	per	pos-towards	1.988888889	"The divide between rich and poor in the US is (admittedly) greater than that of england, but overall I think the wealth per person is higher in the US."	2011-07-31T22:51:00
DYKWIA	Rick Perry	per	neg-towards	-0.554444444	"Wow, what an observant guy you are."	2011-07-31T20:27:00
DYKWIA	rooms	fac	pos-towards	1.094444444	I do understand people turning off lights in rooms they are not using inside the home though.	2011-08-01T21:08:00
DYKWIA	Rose Tyler	per	neg-towards	-0.554444444	"Also, Sharri - not all houses in britain look like Rose Tyler's flat or a street in one of those soaps you all watch."	2011-08-01T01:32:00
DYKWIA	Sarah Palin	per	neg-towards	-0.461111111	Where the **** did she get that statistic from? 1/5th my ass.	2011-07-31T22:59:00
DYKWIA	Sharri	per	pos-towards	1.848888889	"Also, Sharri - not all houses in britain look like Rose Tyler's flat or a street in one of those soaps you all watch."	2011-08-01T01:32:00
DYKWIA	slaves	per	pos-towards	0.736666667	"This was adopted so that slaves could get equal rights, but slavery went away more than 150 years ago and now this amendment is abused."	2011-08-01T16:10:00
DYKWIA	states	gpe	neg-towards	-1.091111111	Southern states aren't more progressive than the north!	2011-08-01T21:58:00
DYKWIA	states	gpe	pos-towards	0.868888889	Southern states aren't more progressive than the north!	2011-08-01T21:58:00
DYKWIA	street	fac	pos-towards	1.848888889	"Also, Sharri - not all houses in britain look like Rose Tyler's flat or a street in one of those soaps you all watch."	2011-08-01T01:32:00
DYKWIA	they	per	neg-towards	-2.607777778	"Sure, you do need to have checks and balances but even when you do have them they can fail (see Wiemar Republic and Hitler) but in many ways the mess we are in right now is down to the fact laws and decisions cannot be made easily in the US when needed."	2011-08-01T15:49:00
DYKWIA	they	per	pos-towards	0.837777778	"I know they share the same first letter and all. <img src=""images/smilies/wink.png""/>"	2011-07-31T20:27:00
DYKWIA	tourists	per	pos-towards	1.848888889	You are generalizing again - not all british tourists are like the ones you describe and not all other tourists show perfect behavior either.	2011-07-31T17:32:00
DYKWIA	United States	gpe	neg-towards	-0.188888889	"IAD - a concourse, washington dulles airport, VA."	2011-07-31T16:52:00
DYKWIA	United States	gpe	neg-towards	-0.282222222	"The divide between rich and poor in the US is (admittedly) greater than that of england, but overall I think the wealth per person is higher in the US."	2011-07-31T22:51:00
DYKWIA	United States	gpe	pos-towards	0.557777778	There is a lot of American culture in england so it is only to be expected that they may have a stronger opinion.	2011-07-31T16:27:00
DYKWIA	United States	gpe	pos-towards	1.148888889	"The divide between rich and poor in the US is (admittedly) greater than that of england, but overall I think the wealth per person is higher in the US."	2011-07-31T22:51:00
DYKWIA	United States	gpe	pos-towards	1.576666667	The US is richer than Afghanistan.	2011-08-01T22:41:00
DYKWIA	who	per	pos-towards	0.557777778	For instance the 14th amendment allows immigrants who have children in the US immediate citizenship.	2011-08-01T16:10:00
DYKWIA	world	loc	pos-towards	2.782222222	I would love a house in the English countryside more than anywhere in the world.	2011-08-01T23:24:00
DYKWIA	you	per	neg-towards	-0.5	"Oh, I was confusing you with Chillaxer's comments - neither of you have avatars so you're easily confused."	2011-07-31T17:05:00
DYKWIA	you	per	neg-towards	-0.554444444	"Wow, what an observant guy you are."	2011-07-31T20:27:00
DYKWIA	you	per	neg-towards	-2.607777778	"Sure, you do need to have checks and balances but even when you do have them they can fail (see Wiemar Republic and Hitler) but in many ways the mess we are in right now is down to the fact laws and decisions cannot be made easily in the US when needed."	2011-08-01T15:49:00
DYKWIA	You	per	neg-towards	-0.36	You have no responsibility to your neighborhood to be there.	2011-08-01T21:58:00
DYKWIA	You	per	neg-towards	-0.78	You cannot have your cake and eat it.	2011-08-01T22:41:00
DYKWIA	you	per	pos-towards	0.915555556	"Oh, I was confusing you with Chillaxer's comments - neither of you have avatars so you're easily confused."	2011-07-31T17:05:00
DYKWIA	you	per	pos-towards	1.094444444	"Wow, what an observant guy you are."	2011-07-31T20:27:00
DYKWIA	you	per	pos-towards	1.078888889	"Sure, you do need to have checks and balances but even when you do have them they can fail (see Wiemar Republic and Hitler) but in many ways the mess we are in right now is down to the fact laws and decisions cannot be made easily in the US when needed."	2011-08-01T15:49:00
DYKWIA	you	per	pos-towards	0.861111111	A constitution in our nation's form isn't the only way of ensuring freedoms you do realize?!	2011-08-01T15:49:00
DYKWIA	You	per	pos-towards	0.666666667	You could always email/text family members and 'be with them' that way.	2011-08-01T21:58:00
DYKWIA	you	per	pos-towards	0.557777778	"Staying at home isn't productive, especially if you have a spouse who can look after any kids."	2011-08-01T21:58:00
DYKWIA	You	per	pos-towards	-0.78	You cannot have your cake and eat it.	2011-08-01T22:41:00
DYKWIA	you	per	pos-towards	1.988888889	"Most of the time, if you want to be wealthy you must make sacrifices."	2011-08-01T22:41:00
DYKWIA	You	per	pos-towards	0.557777778	You should have a choice and not be judged by others as to whether your lifestyle choice is a 'correct' one.	2011-08-01T23:56:00
DYKWIA	your	per	neg-towards	-0.188888889	Why is it wrong to favor your corporate community over your local one?!	2011-08-01T20:34:00
DYKWIA	your	per	pos-towards	1.265555556	Why is it wrong to favor your corporate community over your local one?!	2011-08-01T20:34:00
DYKWIA	your	per	pos-towards	0.627777778	You should have a choice and not be judged by others as to whether your lifestyle choice is a 'correct' one.	2011-08-01T23:56:00
eggnchips	buildings	fac	pos-towards	1.848888889	The fact you can stand right outside parliament and the palace was jaw dropping when you comparing Oslo to New York and London most public buildings are like fortresses.	2011-10-04T17:00:00
eggnchips	cafe	fac	pos-towards	1.444444444	"Karl Johans gate is the best street in the world, I could sit drinking coffee outside the grand cafe for the rest of my life."	2011-10-04T17:00:00
eggnchips	Cairo	gpe	pos-towards	1.592222222	"The whole city is just perfect in my eyes <img src=""images/smilies/smile.png""/>"	2011-10-04T17:00:00
eggnchips	Frogner	gpe	pos-towards	1.95	I'm slightly biased my girlfriend is half icelandic half norwegian so I was staying with her mothers family in Frogner so having all those people around probably swayed it for me.	2011-10-04T17:00:00
eggnchips	her	per	pos-towards	2.525555556	I'm slightly biased my girlfriend is half icelandic half norwegian so I was staying with her mothers family in Frogner so having all those people around probably swayed it for me.	2011-10-04T17:00:00
eggnchips	Ibsen	per	pos-towards	1.872222222	"Lots of culture Ibsen museum and Norsk folk museum where highlights for me, beautiful parks, lovely harbour the view from frognerseteren."	2011-10-04T17:00:00
eggnchips	icelandic	gpe	pos-towards	1.88	I'm slightly biased my girlfriend is half icelandic half norwegian so I was staying with her mothers family in Frogner so having all those people around probably swayed it for me.	2011-10-04T17:00:00
eggnchips	museum	fac	pos-towards	1.872222222	"Lots of culture Ibsen museum and Norsk folk museum where highlights for me, beautiful parks, lovely harbour the view from frognerseteren."	2011-10-04T17:00:00
eggnchips	New York City	gpe	pos-towards	1.148888889	"I rate Oslo higher than New York, London and Rome its such a fantastic city."	2011-10-04T15:40:00
eggnchips	Norsk	org	pos-towards	0.798888889	"Lots of culture Ibsen museum and Norsk folk museum where highlights for me, beautiful parks, lovely harbour the view from frognerseteren."	2011-10-04T17:00:00
eggnchips	norwegian	gpe	neg-towards	-0.927777778	I'm slightly biased my girlfriend is half icelandic half norwegian so I was staying with her mothers family in Frogner so having all those people around probably swayed it for me.	2011-10-04T17:00:00
eggnchips	norwegian	gpe	pos-towards	1.88	I'm slightly biased my girlfriend is half icelandic half norwegian so I was staying with her mothers family in Frogner so having all those people around probably swayed it for me.	2011-10-04T17:00:00
eggnchips	Oslo	gpe	pos-towards	1.148888889	"I rate Oslo higher than New York, London and Rome its such a fantastic city."	2011-10-04T15:40:00
eggnchips	Oslo	gpe	pos-towards	0.557777778	"There dosnt need to be all kinds of wonderous sights to make a city ""the best"" Oslo has some amazing ones but combining then with the open and free society makes is what makes it the best city for me."	2011-10-04T18:15:00
eggnchips	palace	fac	pos-towards	1.016666667	The fact you can stand right outside parliament and the palace was jaw dropping when you comparing Oslo to New York and London most public buildings are like fortresses.	2011-10-04T17:00:00
eggnchips	people	per	pos-towards	1.95	I'm slightly biased my girlfriend is half icelandic half norwegian so I was staying with her mothers family in Frogner so having all those people around probably swayed it for me.	2011-10-04T17:00:00
eggnchips	street	fac	pos-towards	1.444444444	"Karl Johans gate is the best street in the world, I could sit drinking coffee outside the grand cafe for the rest of my life."	2011-10-04T17:00:00
eggnchips	UK	gpe	pos-towards	1.592222222	"I was there in June and just found it to be sort of perfect version of the UK, clean streets (I dont remember ever seeing litter), everyone I met was very polite, warm, helpful and welcoming, public transport was amazingly well run."	2011-10-04T17:00:00
eggnchips	woman	per	pos-towards	1.592222222	Every single woman was really attractive when is obviously a bonus.	2011-10-04T17:00:00
eggnchips	world	loc	pos-towards	1.81	"Karl Johans gate is the best street in the world, I could sit drinking coffee outside the grand cafe for the rest of my life."	2011-10-04T17:00:00
EssexDan86	Shanghai	gpe	neg-towards	-0.398888889	"Big city, but in Chinese terms just a commuter town for Shanghai..."	2011-09-25T23:03:00
EssexDan86	world	loc	pos-towards	1.833333333	The world's greatest city is Hong Kong.	2011-09-23T09:34:00
fellowjoe	Melbourne	gpe	neg-towards	-0.15	"Either Las Vegas, Melbourne or Vancouver."	2011-09-25T07:06:00
Ferdowsi	California	gpe	pos-towards	1.833333333	"They have a short drive to the centre of LA, a short drive to things like the tennis club, short drive to the coast and a short drive to the hills and mountains and rural areas around the city - as much as I love Edinburgh - California is something special."	2011-08-01T00:31:00
Ferdowsi	Chicago	gpe	pos-towards	1.848888889	America is many ways a huge land of opportunity (one in three Iranian Americans earns over $100K) and if you live around the metro areas of places like Boston or Portland or Chicago or LA it is an amazing standard of living.	2011-08-01T00:31:00
Ferdowsi	club	fac	pos-towards	1.848888889	"They have a short drive to the centre of LA, a short drive to things like the tennis club, short drive to the coast and a short drive to the hills and mountains and rural areas around the city - as much as I love Edinburgh - California is something special."	2011-08-01T00:31:00
Ferdowsi	Edinburgh	gpe	pos-towards	2.782222222	"They have a short drive to the centre of LA, a short drive to things like the tennis club, short drive to the coast and a short drive to the hills and mountains and rural areas around the city - as much as I love Edinburgh - California is something special."	2011-08-01T00:31:00
Ferdowsi	Great Britain	gpe	neg-towards	-0.585555556	"Second one is hardly that bad though, compared to the standard of lower income housing in the UK..."	2011-08-01T00:40:00
Ferdowsi	Great Britain	gpe	pos-towards	2.245555556	"My family work normal middle class lives and live in a huge house that only millionaires could afford in the UK with swimming pools, loads of land and so on."	2011-08-01T00:31:00
Ferdowsi	Houston	gpe	pos-towards	1.848888889	America is many ways a huge land of opportunity (one in three Iranian Americans earns over $100K) and if you live around the metro areas of places like Boston or Portland or Chicago or LA it is an amazing standard of living.	2011-08-01T00:31:00
Ferdowsi	LA	gpe	pos-towards	0.915555556	I have relatives in LA who live in Tehrangeles (the Iranian-American part of LA) and it is a great place to live.	2011-08-01T00:31:00
Ferdowsi	pools	per	pos-towards	2.245555556	"My family work normal middle class lives and live in a huge house that only millionaires could afford in the UK with swimming pools, loads of land and so on."	2011-08-01T00:31:00
Ferdowsi	Prague	gpe	pos-towards	0.627777778	"They have a short drive to the centre of LA, a short drive to things like the tennis club, short drive to the coast and a short drive to the hills and mountains and rural areas around the city - as much as I love Edinburgh - California is something special."	2011-08-01T00:31:00
fweefwee	Allied	per	neg-towards	-1.83	"I have reached the conclusion that the ""extermination"" tale is a mixture of Allied wartime propaganda, extremely profitable lie, and latter witch-hysteria."""	2009-02-21T17:52:00
fweefwee	Duncan	per	neg-towards	-0.266666667	Griffin wrote an article for Spearhead in June 1999 after the Admiral Duncan pub bombing.	2009-02-21T17:52:00
fweefwee	Earth	loc	neg-towards	-0.554444444	Orthodox opinion also also once held that the Earth was flat...	2009-02-21T17:52:00
fweefwee	Jews	per	neg-towards	-0.554444444	"In 1998 Nick Griffin said, ""I am well aware that the orthodox opinion is that 6 million Jews were gassed and cremated and turned into lampshades."	2009-02-21T17:52:00
fweefwee	Nick Griffin	per	pos-towards	1.335555556	"In 1998 Nick Griffin said, ""I am well aware that the orthodox opinion is that 6 million Jews were gassed and cremated and turned into lampshades."	2009-02-21T17:52:00
fweefwee	Nick Griffin	per	pos-towards	0.596666667	"He said, ""The TV footage of dozens of gay demonstrators flaunting their perversions in front of the world's journalists showed just why so many ordinary people find these creatures so repulsive."""	2009-02-21T17:52:00
fweefwee	Nick Griffin	per	pos-towards	1.848888889	...And to have a man like this as a leader - it's a scary thought	2009-02-21T17:52:00
fweefwee	people	per	neg-towards	-2.483333333	"He said, ""The TV footage of dozens of gay demonstrators flaunting their perversions in front of the world's journalists showed just why so many ordinary people find these creatures so repulsive."""	2009-02-21T17:52:00
fweefwee	pub	fac	neg-towards	-0.266666667	Griffin wrote an article for Spearhead in June 1999 after the Admiral Duncan pub bombing.	2009-02-21T17:52:00
fweefwee	pub	fac	pos-towards	1.553333333	Griffin wrote an article for Spearhead in June 1999 after the Admiral Duncan pub bombing.	2009-02-21T17:52:00
GodspeedGehenna	Houston	gpe	pos-towards	1.211111111	Houston is only worthwhile because of the oil money floating around.	2011-07-30T16:35:00
Gremlins	A. W. F. Edwards	per	pos-towards	0.666666667	"I really can't see how it is ethically a good thing that you have thousands of people, many of them skilled professionals, coming here to work in McDonalds just so we can keep our wage inflation down =/"	2009-02-21T17:17:00
Gremlins	Adolf Ap Hitler	per	neg-towards	-2.74	"This would actually have been preferable to Hitler - no British bombers wrecking German industry, the entire Luftwaffe up against the Soviets, no pressure in Africa."	2009-02-22T11:30:00
Gremlins	Adolf Ap Hitler	per	pos-towards	0.868888889	"This would actually have been preferable to Hitler - no British bombers wrecking German industry, the entire Luftwaffe up against the Soviets, no pressure in Africa."	2009-02-22T11:30:00
Gremlins	Algeria	gpe	neg-towards	-1.518888889	"IIRC the plan was to exterminate the Celtic nations entirely (bloody Germanic tribes, I told you!"	2009-02-22T11:50:00
Gremlins	Arminius	per	pos-towards	0.814444444	Pavlik (IMO) consistantly displays an advanced knowledge of genetics on TSR and has clearly explained it if only you were prepared to listen.	2009-03-03T01:47:00
Gremlins	Bagration	per	neg-towards	-2.405555556	I think my grandparents were even more racist than Pavlik.	2009-02-22T11:18:00
Gremlins	Bagration	per	neg-towards	-1.868888889	"Not that Pavlik is a problem, imo."	2009-02-22T15:32:00
Gremlins	Bagration	per	pos-towards	0.783333333	He contributes more intelligently than a good number of D&amp;D posters.	2009-02-22T15:32:00
Gremlins	BBC	org	neg-towards	-1.767777778	"Yes, yes, we're all very sorry the BBC doesn't give your pseudo-science more airtime."	2009-02-22T14:19:00
Gremlins	BBC	org	pos-towards	2.385555556	"I'm perfectly happy for the BBC (or any news organisation, actually) to do undercover reporting."	2009-02-22T14:32:00
Gremlins	BNP and Front Nationale	org	neg-towards	-0.336666667	"Look, I'm not saying Labour voters don't switch over to the BNP."	2009-02-22T00:00:00
Gremlins	BNP and Front Nationale	org	neg-towards	-2.195555556	"The media try to ruin politicians' careers quite regularly, y'know."	2009-02-22T14:45:00
Gremlins	BNP and Front Nationale	org	pos-towards	1.81	"Also, the BNP's most prominent in the Midlands (IIRC the town the BNP's done best on is Stoke-on-Trent in Staffordshire) - comparatively, it doesn't do that great even in places like Leeds."	2009-02-21T22:33:00
Gremlins	BNP and Front Nationale	org	pos-towards	1.358888889	"Probably more media access than the Greens, who have more support nationally than the BNP."	2009-02-22T14:45:00
Gremlins	bombers	per	neg-towards	-2.74	"This would actually have been preferable to Hitler - no British bombers wrecking German industry, the entire Luftwaffe up against the Soviets, no pressure in Africa."	2009-02-22T11:30:00
Gremlins	British Pakistani	gpe	neg-towards	-1.184444444	"Basically, the theory goes, Britain could have avoided a war either by not declaring war when Germany invaded Poland, or brokering a ceasefire after Dunkirk."	2009-02-22T11:30:00
Gremlins	British Pakistani	gpe	pos-towards	0.627777778	"The Anglo-Saxon migration had such a huge effect that the traditional British language and culture were pushed back to Wales, Cornwall, Cumbria, and the Scottish highlands."	2009-02-26T20:40:00
Gremlins	Caucasian	gpe	neg-towards	-2.008888889	"As for 'not sharing the cultural and social norms', I don't think that's necessarily a bad thing in an of itself, because this isn't a ""host country""; if you live here it is your country and just because someone else's great-great-grandparents lived here, I don't see why they should get dibs on it."	2009-02-26T20:55:00
Gremlins	cities	gpe	neg-towards	-1.627777778	It's supposed to mean that southerners perceive Northern cities to be postindustrial wastelands full of poor white racists.	2009-02-21T22:55:00
Gremlins	Collingwood	per	neg-towards	-0.15	"Having debated with Pavlik before, the genetic arguments really are not the principle point of contention."	2009-03-05T13:18:00
Gremlins	Collingwood	per	neg-towards	-1.627777778	Pavlik has never presented any satisfactory justification in any of the debates I have had with him.	2009-03-05T13:18:00
Gremlins	companies	org	neg-towards	-2.04	"Obsession with image over actual policy, creepy PFI deals with favoured private companies, virtually ignoring a Parliament largely stuffed with moronic clapping cymbal monkeys anyway, expansion of government oversight into just about every sphere imaginable..."	2009-02-22T14:58:00
Gremlins	companies	org	pos-towards	0.775555556	"Obsession with image over actual policy, creepy PFI deals with favoured private companies, virtually ignoring a Parliament largely stuffed with moronic clapping cymbal monkeys anyway, expansion of government oversight into just about every sphere imaginable..."	2009-02-22T14:58:00
Gremlins	countries	gpe	neg-towards	-1.9	"A German-dominated, autarkic Europe would have done serious damage to our economy, and the Germans showed absolutely no qualms in attacking neutral or even allied countries once they ceased to be useful."	2009-02-22T11:30:00
Gremlins	Cumbria	gpe	neg-towards	-0.297777778	"The Anglo-Saxon migration had such a huge effect that the traditional British language and culture were pushed back to Wales, Cornwall, Cumbria, and the Scottish highlands."	2009-02-26T20:40:00
Gremlins	Cumbria	gpe	pos-towards	0.962222222	"The Anglo-Saxon migration had such a huge effect that the traditional British language and culture were pushed back to Wales, Cornwall, Cumbria, and the Scottish highlands."	2009-02-26T20:40:00
Gremlins	Darkness and Mist	per	neg-towards	-1.503333333	"Pavlik, your arguments are about as scientific as those produced by the church of scientology, you have a severe lack of understanding and knowledge of both science and history."	2009-03-01T21:34:00
Gremlins	Darkness and Mist	per	neg-towards	-2.405555556	"Pavlik knows what he has been told by his racist Peers, and that is very little."	2009-03-03T09:36:00
Gremlins	Darkness and Mist	per	pos-towards	1.071111111	But when ethnic groups try to adopt our culture and social norms people like Pavlik there say 'they may as well paint themselves white' and seem to hate it.	2009-02-26T20:57:00
Gremlins	Darkness and Mist	per	pos-towards	0.666666667	"And yes Salters use of FST is abysmal, as proven by a later link posted by Pavlik."	2009-03-01T12:09:00
Gremlins	dear	per	neg-towards	-0.484444444	"Quite frankly dear, I don't give a damn about black people."	2009-02-22T00:29:00
Gremlins	families	per	neg-towards	-1.581111111	"I do worry about us as a society, that we think it's somehow good that people who can't support their families in their home country come here to do the most menial, miserable tasks."	2009-02-21T17:01:00
Gremlins	families	per	pos-towards	1.358888889	"I do worry about us as a society, that we think it's somehow good that people who can't support their families in their home country come here to do the most menial, miserable tasks."	2009-02-21T17:01:00
Gremlins	Germanic	per	neg-towards	-1.744444444	"IIRC the plan was to exterminate the Celtic nations entirely (bloody Germanic tribes, I told you!"	2009-02-22T11:50:00
Gremlins	Germans	per	pos-towards	0.596666667	"A German-dominated, autarkic Europe would have done serious damage to our economy, and the Germans showed absolutely no qualms in attacking neutral or even allied countries once they ceased to be useful."	2009-02-22T11:30:00
Gremlins	Germans	per	pos-towards	2.385555556	The Germans were more than happy to use the support of Ukrainians or Latvians even as they planned to turn them into slaves.	2009-02-22T12:02:00
Gremlins	Germany	gpe	neg-towards	-1.347777778	"Basically, the theory goes, Britain could have avoided a war either by not declaring war when Germany invaded Poland, or brokering a ceasefire after Dunkirk."	2009-02-22T11:30:00
Gremlins	Germany	gpe	pos-towards	2.517777778	"Basically, to win WW2 in real life, Germany needed to knock out either London or Moscow by 1942."	2009-02-22T11:30:00
Gremlins	Greens	org	pos-towards	0.557777778	"Probably more media access than the Greens, who have more support nationally than the BNP."	2009-02-22T14:45:00
Gremlins	Gremlins	per	pos-towards	1.483333333	"Pavlik, I really, really hope you fall in love with an Indian or Black woman."	2009-02-22T11:17:00
Gremlins	Howard	per	neg-towards	-1.223333333	"Oh, Pavlik's just an old grouch!"	2009-02-26T21:02:00
Gremlins	Howard	per	neg-towards	-1.363333333	I don't know much about genetics or whether Pavlik is right or just blowing smoke.	2009-03-03T11:59:00
Gremlins	Howard	per	pos-towards	1.016666667	He might be right.	2009-02-22T11:48:00
Gremlins	Howard	per	pos-towards	0.744444444	I don't know much about genetics or whether Pavlik is right or just blowing smoke.	2009-03-03T11:59:00
Gremlins	Howard	per	pos-towards	0.736666667	"All I seem to read here is page after page of Pavlik offering real arguments which seem to have some science behind them followed by counter attacks made by people shouting ""you don't know what you're talking about fool"" or playing with semantics."	2009-03-03T11:59:00
Gremlins	Howard	per	pos-towards	1.281111111	That's really more Pavlik's pet idea.	2009-03-08T22:25:00
Gremlins	Iberian	gpe	pos-towards	1.53	In the Iberian provinces 'frater germanus' means brother!	2009-02-22T00:29:00
Gremlins	industry	org	neg-towards	-2.74	"This would actually have been preferable to Hitler - no British bombers wrecking German industry, the entire Luftwaffe up against the Soviets, no pressure in Africa."	2009-02-22T11:30:00
